track_id,name,artist,genre,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,album_cover_url
7J4gq1xNP3IsG6lDk0eSa7,Take Me to Church,Hozier,folk,2013-09-13,0.5720000000000001,0.6609999999999999,4,-5.303999999999999,0,0.0472,0.59,0.0,0.121,0.386,129.093,4,241587,https://i.scdn.co/image/ab67616d0000b273afbbb944950de88267c198a1
0IwXp8V7wgFCIthRh2z8Ot,The Crane Wife 3,The Decemberists,folk,2006-10-03,0.588,0.613,2,-9.656,1,0.0396,0.369,0.0422,0.107,0.185,119.536,4,258333,https://i.scdn.co/image/ab67616d0000b2734c48d53016404efd3fd07ac8
4XoDdGtXBIkDLaGT0t8RbI,Glory,Radical Face,folk,2007-03-02,0.499,0.5760000000000001,1,-11.019,1,0.0298,0.39899999999999997,0.7559999999999999,0.235,0.363,98.016,4,374080,https://i.scdn.co/image/ab67616d0000b273c9070ac4f600f51d60536a05
7ehiOU7D4JDkPbMKEKDIwf,Blindsided,Bon Iver,folk,2007-07-08,0.679,0.16,10,-18.562,1,0.0409,0.9570000000000001,0.161,0.14300000000000002,0.0475,115.279,4,329267,https://i.scdn.co/image/ab67616d0000b273b24d0c9c4497ac030317b6ec
1lotrtooYW4upr1W8lybYq,Dirty Loverstuff,Fanuelle,folk,2012-03-20,0.725,0.465,1,-11.860999999999999,1,0.0264,0.501,0.433,0.106,0.452,118.14399999999999,4,144721,https://i.scdn.co/image/ab67616d0000b2739e9aaa2d9107be4c2331d1f7
1xdZeRTNLrVXRmGOWqdXmr,Hopeless Wanderer,Mumford & Sons,folk,2012-09-21,0.345,0.601,7,-7.421,0,0.0364,0.0196,0.0034799999999999996,0.107,0.265,78.459,4,307853,https://i.scdn.co/image/ab67616d0000b273537a75e67ff8c59ff96d7b8a
4mnYKWDNOMQcXGBAkN7QKt,Up From Below,Edward Sharpe & The Magnetic Zeros,folk,2009-07-14,0.355,0.754,2,-6.034,1,0.062,0.519,0.0073,0.0889,0.73,201.582,4,248960,https://i.scdn.co/image/ab67616d0000b27393769b06d10205212197060a
5sO4zkl77h4VVumJKFQafI,I Still Care for You,Ray LaMontagne,folk,2008-10-13,0.32299999999999995,0.715,7,-9.812000000000001,0,0.0314,0.17800000000000002,0.272,0.10400000000000001,0.309,178.825,3,247187,https://i.scdn.co/image/ab67616d0000b273b73283373bf715a7e8adb87a
2Ad2qfwGwhyXdyipe3a6AI,Walk the Line,The Tallest Man On Earth,folk,2006,0.6809999999999999,0.545,6,-4.518,0,0.0295,0.8490000000000001,0.0,0.0974,0.321,117.49600000000001,4,212160,https://i.scdn.co/image/ab67616d0000b273db1fa7588d474f3b5afd2bb6
0TSFevoFb3ewo9F8Xts9P8,Dance to Another Tune,First Aid Kit,folk,2012-01-23,0.452,0.51,0,-7.8679999999999986,0,0.0309,0.166,3.87e-06,0.113,0.11199999999999999,118.331,3,290440,https://i.scdn.co/image/ab67616d0000b273280904a03a1e59466aa934bf
